标题	标题链接	iteminfo__line2__jobdesc__salary	iteminfo__line2__jobdesc__demand	iteminfo__line2__jobdesc__demand1	iteminfo__line2__jobdesc__demand2	iteminfo__line1__compname__name	iteminfo__line2__compdesc	iteminfo__line2__compdesc1	详情标题	职位描述	工作地点
大数据运营	http://jobs.zhaopin.com/CC132230560J40058545006.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	9千-1.8万	西安-雁塔区	5-10年	大专	深圳市讯方技术股份有限公司	股份制企业	1000-9999人	大数据运营	职位描述行业数据分析推广数据运营  技能要求：  1、2年以运营商或OTT行业运营工作经验。  2、熟悉大数据产业特点，结合大数据产业进行运营策划。有流程设计与优化的工作经验和能力或有面向运营业务运营（市场营销/满意度提升等）成功经验。  3、了解流程设计、运营工具等（能使用visio/xmind/project等软件）  4、主动思考，具备较强策划能力和执行能力，能够独立完成运营工作。  5、沟通协调能力出色，善于跨团队项目协作，协调能力强。  岗位职责：  1、支撑运营商大数据产业（含客户市场营销/满意度辅助运营、内部运营）运营工作，主要包括：制定运营策略、运营方案设计、运营数据统计分析、运营大屏管理和优化、运营案例总结和培训工作。  2、负责大数据产业流程管理工作，包括：项目信息管理、项目进度跟踪、合作人员管理。	锦业路
大数据开发工程师	http://jobs.zhaopin.com/CC000432190J00257619510.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.5万	西安	5-10年	本科	先进数通	股份制企业	1000-9999人	大数据开发工程师	职位描述Hive大数据SparkJava 岗位职责： 1.相关工作经验3年以上； 2.计算机相关专业，有志于长期从事IT行业； 3.有较强的沟通能力和学习能力； 4.能够按时完成项目经理分配的学习和工作任务； 5.主动积累学习工作相关的技术和业务知识； 6.完成上级领导安排的其他工作； 任职要求： 1、熟悉常用的软件设计与开发模式 2、熟练使用spring、springMVC、SpringBoot、JPA、Mybatis等常用框架； 3、熟练使用Oracle、DB2、MySql等常用数据库； 4、熟练使用Tomcat、WebSphere等常用应用中间件； 5、熟悉SQL语句，并能够独立编写较复杂sql； 6、熟悉LINUX或UNIX等操作系统； 7、熟悉LINUX/UNIX下的脚本编程shell/Perl/Python； 8、熟悉主流大数据组件HDFS、Hive、Hbase、Spark、solor、elastic search； 9.熟悉elastic search者从优,有过spark流式处理经验者优先。	莲湖区 陕西省西安市莲湖区西二环南段12号
大数据系统架构师-SA	http://jobs.zhaopin.com/CC000544466J00244254509.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1万-1.5万	西安	1-3年	大专	软通动力信息技术(集团)股份有限公司	民营	10000人以上	大数据系统架构师-SA	职位描述解决方案产品产品规划构架设计需求调研与分析1、至少在电信或互联网行业内有从事产品或解决方案需求调研与分析、产品规划、构架设计工作两年以上经验； 2、对运营商市场域、网络域数据体系比较了解； 3、掌握产品或解决方案功能构架设计、客户IT需求管理等工作; 4、对运营商或互联网业务体系架构、大数据的相关技术相对熟悉； 5、对运营商的客户服务、市场营销等业务熟悉的优先考虑。	西安雁塔区环普科技产业园E座 E1入库2层
大数据开发工程师【陕西联通】	http://jobs.zhaopin.com/CC327037480J40026468213.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	8千-1万	西安-未央区	3-5年	本科	北京资采信息技术有限公司	上市公司	100-299人	大数据开发工程师【陕西联通】	职位描述数据仓库数据处理数据库数据库管理员数据库开发     岗位职责：       1.参与电信行业运营商O域数据仓库的设计与建设。       2. 设计用户画像、用户细分等相关的模型与算法。       3. 构建用户上网行为标签化体系，分析用户的地理位置信息。       4. 使用分布式机器学习算法对海量数据分析建模。       5. 分析用户行为和个性化需求，发现潜在商业价值，提供精准人群分析和个性化服务。              岗位要求：       1.本科及以上计算机、数学或统计专业，三年或以上相关工作经验。       2.能够基于Linux平台工作，熟练使用shell脚本。       3.熟悉hadoop生态系统，熟悉HDFS、Hive和HBase等相关组件的功能、性能和扩展，解决并实现业务需求。       4.具有2年及以上Hadoop或Spark使用经验，熟悉Java、Scala、Python中至少一门语言。       5.熟悉决策树、聚类、逻辑回归，关联分析、SVM，贝叶斯等分布式数据挖掘算法，有海量数据挖掘的项目经验。       6.同时熟悉Hadoop、HBase、Storm、Spark等开源分布式系统者优先。       7.熟悉掌握运营商O域大数据数据处理经验、信令数据者优先。       8.有机器学习相关项目实现有实际经验者优先。	欧亚大道辅路中国联通陕西省分公司


大数据服务工程师	http://jobs.zhaopin.com/CC132230560J40101198206.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.5万-2.9万	西安-高新技术产业开发区	3-5年	本科	深圳市讯方技术股份有限公司	股份制企业	1000-9999人	大数据服务工程师	职位描述Hadoop数据库OracleHivePythonLinux数据库架构 1.负责大数据专业服务产品项目交付，能独立针对客户的大数据业务迁移或其他大数据相关的需求，进行调研评估，制定解决方案，交付实施等工作； 2.负责客户大数据业务的问题、需求的及时响应和快速处理； 3.负责对客户大数据项目管理，承担大数据项目的客户满意度，做好客户管理、交付管理、收入管理等工作； 4.负责大数据问题总结和案例技术分享，承担团队大数据技术能力成长工作。 一、学历要求： 全日制本科及以上学历，要求四年以上专业工作经验； 二、专业要求：  电子信息工程、通信工程、计算机科学与技术、网络工程、电气工程与自动化信息工程、信息科学技术、软件工程 、光电信息工程电气信息工程、计算机软件等相关专业等（这块放开）。 三、岗位职责： 1、根据客户的Hadoop大数据平台架构设计，协助售前，输出基于华为云服务的大数据迁移方案，并落地、实施和交付工作； 2、负责客户的Hadoop/Spark相关组件功能和性能优化设计和实施落地工作； 四、技能要求： 1、熟悉Hadoop，熟悉大数据相关框架和组件，如Hadoop（HDFS、YARN）、Hive、Spark、Storm、Zookeeper、Kafka等原理，使用和应用场景，熟悉CDH或HDP框架； 2、精通主流数据库（如Oracle、MySQL、PostgreSQL或GP其中一种），熟悉NoSQL和NewSQL数据库。 3、精通Java语言开发，熟悉Python、Scala或者Go语言之一,熟练掌握Linux操作系统； 4、熟悉大数据应用开发，如编写MapReduce、Spark程序等，熟悉Java工程的相关流程和操作； 5、具备较强的学习能力和自我管理能力，性格积极乐观，能够在压力环境下工作。	西安环普产业园
大数据运营策划5	http://jobs.zhaopin.com/CC000544460J40066926216.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	1.2万-2.4万	西安	3-5年	本科	软通动力信息技术(集团)股份有限公司	民营	10000人以上	大数据运营策划5	职位描述运营商OTT大数据产业运营商大数据  1、2年以运营商或OTT行业运营工作经验。  2、熟悉大数据产业特点，结合大数据产业进行运营策划。有流程设计与优化的工作经验和能力或有面向运营业务运营（市场营销/满意度提升等）成功经验。  3、了解流程设计、运营工具等（能使用visio/xmind/project等软件）  4、主动思考，具备较强策划能力和执行能力，能够独立完成运营工作。  5、沟通协调能力出色，善于跨团队项目协作，协调能力强。     1、支撑运营商大数据产业（含客户市场营销/满意度辅助运营、内部运营）运营工作，主要包括：制定运营策略、运营方案设计、运营数据统计分析、运营大屏管理和优化、运营案例总结和培训工作。       2、负责大数据产业流程管理工作，包括：项目信息管理、项目进度跟踪、合作人员管理。	华为研究所
大数据项目经理	http://jobs.zhaopin.com/CC864264610J40145000808.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	"2万-3万
          · 13薪"	西安-雁塔区	5-10年	本科	陕西佳帮手集团控股有限公司	民营	1000-9999人	大数据项目经理	职位描述数据仓库Hadoop数据仓库架构架构设计数据中台数据挖掘 工作职责： 1、负责公司多条产品线的数据仓库建设； 2、与业务团队紧密合作，深入理解并抽象业务需求，产出数据工具/应用，发挥数据价值。 任职要求： 1、精通数据仓库实施方法论、深入了解数据仓库体系，并支撑过实际的互联网业务场景； 2、5年以上大数据相关工作经验，对数据业务敏感度高； 3、具备较强的编码能力，对hadoop生态的大数据基础设施有较强的理解，包括但不限于hive/spark/flink/kafka等，有数据工具的研发经验者优先； 4、善于沟通，具备优秀的技术和业务结合能力； 5、有PB级以上海量数据处理经验者优先； 6、有团队管理经验者优先。	科技西路与雁晁路交叉口东北150米
大数据架构师	http://jobs.zhaopin.com/CC358862320J40158203814.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	面议	西安-雁塔区	1-3年	本科	海尔智家股份有限公司	股份制企业	10000人以上	大数据架构师	职位描述HadoopHbase数据仓库岗位职责：   1、负责大数据基础和应用平台的整体规划和架构设计，参与需求分析，架构设计，详细设计以及技术选型决策；    2、负责基础业务复杂系统设计，确保系统的架构质量，编写核心模块代码；    3、理解系统的业务需求，制定系统的整体技术框架，业务框架和系统架构；    4、负责为产品开发，实施，运维提供技术保障；    5、对系统框架相关技术和业务进行培训，指导开发人员开发，解决系统开发、运行中出现的各种问题；    6、从安全，扩展，性能，重用等系统级方便进行全局把控。   任职要求：   1、熟悉大数据和数据仓库的系统架构设计方法；    2、熟练使用并理解Hadoop/Spark架构及生态。（Hadoop，Hive，Hbase，Elasticsearch，Kafka，Spark,Flink等）；    3、熟悉分布式系统架构，有分布式实时、离线和机器学习平台的架构和开发经验，具备海量数据清洗、分析处理及存储的实践经验；    4、熟练使用Java，Scala或C++至少一门语言，具有大规模分布式系统调优经验；    5、对大数据技术有钻研的热情，乐于分享。	锦业一路与锦业六街路口东南角宝德云谷国际A座16层1604室
大数据开发工程师	http://jobs.zhaopin.com/CC000544460J40116317316.htm?srccode=401901&preactionid=33e5bfb5-b529-4bdb-b83e-f08796881eaa	9千-1.8万	西安-雁塔区	1-3年	本科	软通动力信息技术(集团)股份有限公司	民营	10000人以上	大数据开发工程师	职位描述Hadoop数据分析数据挖掘大数据分析  1、搭建和维护Hadoop集群，解决海量数据不断增长面临的挑战；  2、负责海量信息分析处理，系统设计；  3、负责根据业务场景，项目需求抽取、分析处理。  任职要求:  1、计算机或相关专业，本科及以上学历，一年以上大数据相关工作经验  2、熟悉Hadoop以及Hadoop生态圈上的各种应用的几种，如HBase、HDFS、ES、ZooKeeper、Yarn等，能解决Hadoop的复杂问题；  3、有部署大规模Hadoop集群的经验者优先；  4、熟悉面向对象设计思想和设计模式，可以编写代码编程使用Spark开发大数据处理系统；  5、熟悉软件开发流程和配置库的使用，拥有软件开发流程中的代码规范意识、配置管理规范意识、文档撰写规范意识和团队合作沟通交流意识。	环普科技产业园E-1 2楼
